condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
full,Vismodegib,0.06430532386405059,0.3793483794851764,189,True
full,Olaparib,0.3390959668675234,1.8145422595883758e-06,189,True
full,Gemcitabine,0.5044310438553241,1.5760698000174553e-13,188,True
full,Paclitaxel,0.20461944650751052,0.0050861098690134915,186,True
full,Zoledronate,-0.15281022578608927,0.08024850656858613,132,True
full,AMG-319,0.04030513481358355,0.5849249214575368,186,True
full,Buparlisib,0.32401863219965016,6.435557681561502e-06,186,True
full,MK-1775,0.63880740806251,4.6103926981888366e-23,189,True
full,Niraparib,0.34122287968441817,5.273602719547826e-06,170,True
full,Mitoxantrone,0.5745174873338794,5.892311850895354e-13,132,True
full,Pictilisib,0.3094743840403802,1.3940080629274338e-05,190,True
full,Venetoclax,0.26610315680524405,0.00024149727642204893,186,True
full,Refametinib,0.5955722639933166,1.5802898364882838e-19,189,True
full,Bicalutamide,0.0001409443269908386,0.9992755183211193,44,True
full,VE821,0.37531714913119085,1.3033144122047465e-07,186,False
full,SB216763,0.018489020366367053,0.801690611690099,187,False
full,EPZ004777,0.029534718985241817,0.6882282048710449,187,False
full,GSK343,0.005422910313521319,0.9236276473163363,315,False
full,BPD-00008900,-0.06327743662415367,0.4495745015458268,145,False
full,JNK Inhibitor VIII,0.06114217658212677,0.40965974056838284,184,False
full,AZD7762,0.4291196106570163,8.906545133677215e-10,187,False
full,Bleomycin,0.07867343584499067,0.36988823272734406,132,False
full,AZD3759,0.0890328658525747,0.2231097807713018,189,False
full,AZD1332,0.15403842033849888,0.07668209387354544,133,False
full,50869,0.045326710252383204,0.605800964205478,132,False
full,BDF00022089a,-0.15526518664629294,0.07545454063909603,132,False
full,JAK_8517,0.2889278828006243,0.0007439235828142935,133,False
full,Gallibiscoquinazole,-0.12464193098986188,0.1544563861915904,132,False
full,PCI-34051,0.17694689211717077,0.020980848881267427,170,False
full,BIBR-1532,0.13599485288289842,0.06419439660583173,186,False
full,CHIR-99021,0.3630725863284002,0.015421871007928597,44,False
full,PD0325901,0.5529035354343306,1.5930936765635535e-16,189,False
full,GSK2256098C,-0.17071999916515784,0.050328572676048164,132,False
full,150412,-0.08164234319316681,0.3520437767138813,132,False
ChEMBL_off,Vinblastine,0.6947055581798142,3.2824479741526797e-22,145,True
ChEMBL_off,Pevonedistat,0.5281366184431046,1.3143105846660172e-14,184,True
ChEMBL_off,Dactinomycin,0.8620129567619885,1.1456182003916504e-94,316,True
ChEMBL_off,VE-822,0.33038757701772703,1.0817831857219513e-05,170,True
ChEMBL_off,ERK_2440,0.31515185521469885,0.00022004894335939763,133,True
ChEMBL_off,Lenalidomide,0.018373949057039762,0.8018562589954839,189,True
ChEMBL_off,Epirubicin,0.45482705406804075,6.955999105128187e-11,186,True
ChEMBL_off,GSK2110183B,0.2429547150318544,0.005000936486486113,132,True
